"id";"ma_sanpham";"ten_sanpham";"ten_hoatchat";"nongdo_hamluong";"sokiemsoat";"quycachdonggoi";"anh";"donvitinh_id";"nha_sanxuat_id";"nuoc_sanxuat_id";"deleted_at";"created_at";"updated_at"
1;"Eth1";"Ethambutol 100mg-EEB2710C";"hoạt chất";"nồng độ";"số kiểm soát";"H/3600v";"";27;0;3;"";"2018-04-03 10:29:00";"2018-05-02 02:00:19"
2;"Cap2";"Capreomycin 1g- 5170609";"";"";"";"";"";15;0;0;"";"2018-04-03 10:29:00";""
3;"Clo3";"Clofazimine 100mg-:GL1046";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
4;"Clo4";"Clofazimine 100mg-:GL1046";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
5;"Cyc5";"Cycloserine 250mg-1701489";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
6;"Iso6";"Isoniazid 300mg-Lô:16TTB143A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
7;"Iso7";"Isoniazid 300mg-16TIB143A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
8;"Iso8";"Isoniazid 100mg-16TIB143A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
9;"Kan9";"Kanamycin 1g-WKDNAN1769";"";"";"";"";"";18;0;0;"";"2018-04-03 10:29:00";""
10;"Lev10";"Levofloxacin 250mg-BLB6622A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
11;"Lin11";"Linezolid 600mg- LIZ16015A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
12;"Mox12";"Moxifloxacin 400mg- MXF16013B";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
13;"Pas13";"Pas-Na 5,52g-2080615";"";"";"";"";"";10;0;0;"";"2018-04-03 10:29:00";""
14;"Pro14";"Prothionamide 250mg-A604393";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
15;"Pyr15";"Pyrazinamide 500mg-16TPE036A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
16;"Pyr16";"Pyrazinamide 500mg-16TPE046A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
17;"INH17";"INH 50mg -15017";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
18;"Tre18";"Trepmycin 1g- 517011";"";"";"";"";"";15;0;0;"";"2018-04-03 10:29:00";""
19;"Tre19";"Trepmycin 1g- 517017";"";"";"";"";"";15;0;0;"";"2018-04-03 10:29:00";""
20;"Pyr20";"Pyrazinamide 500mg-17012AN";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
21;"Rif21";"Rifampicin 75mg+Isoniazid 50mg +Pyrazinamid 150mg-ERE7725A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
22;"Rif22";"Rifampicin 75mg+Isoniazid 50mg-ERE6743A";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
23;"Tub23";"Tube 150/100mg-17112";"";"";"";"";"";27;0;0;"";"2018-04-03 10:29:00";""
24;"Lam24";"Lam kính H/72";"";"";"";"";"";33;0;0;"";"2018-04-03 10:29:00";""
25;"Co25";"Cốc đờm T/500";"";"";"";"";"";33;0;0;"";"2018-04-03 10:29:00";""
26;"Phe26";"Phenol C/250g";"";"";"";"";"";8;0;0;"";"2018-04-03 10:29:00";""
27;"Da27";"Dầu soi kính C/100ml";"";"";"";"";"";17;0;0;"";"2018-04-03 10:29:00";""
28;"Xan28";"Xanh Methylene -100g ";"";"";"";"";"";8;0;0;"";"2018-04-03 10:29:00";""
29;"Kit29";"Kít thử Xpert MTB/RIF";"";"";"";"";"";38;0;0;"";"2018-04-03 10:29:00";""
30;"Pip30";"Pipet tự động 1,000µl";"";"";"";"";"";2;0;0;"";"2018-04-03 10:29:00";""
31;"Pip31";"Pipet tự động 200µl";"";"";"";"";"";2;0;0;"";"2018-04-03 10:29:00";""
32;"Pip32";"Pipet tự động 100µl";"";"";"";"";"";2;0;0;"";"2018-04-03 10:29:00";""
